列車ID,種別ID,行先,駅ID,着時刻,発時刻
TY0725,EXP,元町・中華街,TY16,7:34,7:35
TY0725,EXP,元町・中華街,TY21,7:41,---
TY0725,EXP,元町・中華街,MM01,---,7:43
TY0725,EXP,元町・中華街,MM03,7:45,---
TY0728,ALL,元町・中華街,TY11,---,7:28
TY0728,ALL,元町・中華街,TY12,7:30,7:30
TY0728,ALL,元町・中華街,TY13,7:32,7:32
TY0728,ALL,元町・中華街,TY14,7:34,7:34
TY0728,ALL,元町・中華街,TY15,7:37,7:37
TY0728,ALL,元町・中華街,TY16,7:38,7:39
TY0728,ALL,元町・中華街,TY17,7:41,7:41
TY0728,ALL,元町・中華街,TY18,7:43,7:43
TY0728,ALL,元町・中華街,TY19,7:45,7:45
TY0728,ALL,元町・中華街,TY20,7:46,7:46
TY0728,ALL,元町・中華街,TY21,7:48,---
TY0728,ALL,元町・中華街,MM01,---,7:48
TY0728,ALL,元町・中華街,MM02,7:50,7:50
TY0728,ALL,元町・中華街,MM03,7:51,---
TY0731,ALL,元町・中華街,TY11,---,7:31
TY0731,ALL,元町・中華街,TY12,7:33,7:33
TY0731,ALL,元町・中華街,TY13,7:35,7:35
TY0731,ALL,元町・中華街,TY14,7:37,7:38
TY0731,ALL,元町・中華街,TY15,7:40,7:40
TY0731,ALL,元町・中華街,TY16,7:42,7:45
TY0731,ALL,元町・中華街,TY17,7:47,7:47
TY0731,ALL,元町・中華街,TY18,7:49,7:49
TY0731,ALL,元町・中華街,TY19,7:51,7:51
TY0731,ALL,元町・中華街,TY20,7:53,7:53
TY0731,ALL,元町・中華街,TY21,7:54,---
TY0731,ALL,元町・中華街,MM01,---,7:55
TY0731,ALL,元町・中華街,MM02,7:57,7:57
TY0731,ALL,元町・中華街,MM03,7:58,---
TY0734,EXP,元町・中華街,TY11,---,7:34
TY0734,EXP,元町・中華街,TY13,7:37,7:38
TY0734,EXP,元町・中華街,TY14,7:40,7:40
TY0734,EXP,元町・中華街,TY16,7:43,7:44
TY0734,EXP,元町・中華街,TY21,7:50,---
TY0734,EXP,元町・中華街,MM01,---,7:50
TY0734,EXP,元町・中華街,MM03,7:54,---
TY0737,ALL,元町・中華街,TY11,---,7:37
TY0737,ALL,元町・中華街,TY12,7:39,7:39
TY0737,ALL,元町・中華街,TY13,7:41,7:41
TY0737,ALL,元町・中華街,TY14,7:44,7:44
TY0737,ALL,元町・中華街,TY15,7:46,7:46
TY0737,ALL,元町・中華街,TY16,7:48,7:51
TY0737,ALL,元町・中華街,TY17,7:53,7:53
TY0737,ALL,元町・中華街,TY18,7:56,7:56
TY0737,ALL,元町・中華街,TY19,7:57,7:57
TY0737,ALL,元町・中華街,TY20,7:59,7:59
TY0737,ALL,元町・中華街,TY21,8:01,---
TY0737,ALL,元町・中華街,MM01,---,8:01
TY0737,ALL,元町・中華街,MM02,8:03,8:03
TY0737,ALL,元町・中華街,MM03,8:04,---
TY0741,ALL,元町・中華街,TY11,---,7:41
TY0741,ALL,元町・中華街,TY12,7:42,7:43
TY0741,ALL,元町・中華街,TY13,7:45,7:45
TY0741,ALL,元町・中華街,TY14,7:47,7:48
TY0741,ALL,元町・中華街,TY15,7:51,7:51
TY0741,ALL,元町・中華街,TY16,7:52,7:53
TY0741,ALL,元町・中華街,TY17,7:56,7:56
TY0741,ALL,元町・中華街,TY18,7:58,7:58
TY0741,ALL,元町・中華街,TY19,7:59,7:59
TY0741,ALL,元町・中華街,TY20,8:01,8:01
TY0741,ALL,元町・中華街,TY21,8:03,---
TY0741,ALL,元町・中華街,MM01,---,8:03
TY0741,ALL,元町・中華街,MM02,8:05,8:05
TY0741,ALL,元町・中華街,MM03,8:07,---
TY0744,EXP,湘南台,TY11,---,7:44
TY0744,EXP,湘南台,TY13,7:47,---
TY0746,ALL,元町・中華街,TY11,---,7:46
TY0746,ALL,元町・中華街,TY12,7:47,7:48
TY0746,ALL,元町・中華街,TY13,7:49,7:50
TY0746,ALL,元町・中華街,TY14,7:52,7:52
TY0746,ALL,元町・中華街,TY15,7:54,7:54
TY0746,ALL,元町・中華街,TY16,7:56,8:00
TY0746,ALL,元町・中華街,TY17,8:03,8:03
TY0746,ALL,元町・中華街,TY18,8:05,8:05
TY0746,ALL,元町・中華街,TY19,8:06,8:06
TY0746,ALL,元町・中華街,TY20,8:08,8:08
TY0746,ALL,元町・中華街,TY21,8:10,---
TY0746,ALL,元町・中華街,MM01,---,8:10
TY0746,ALL,元町・中華街,MM02,8:12,8:12
TY0746,ALL,元町・中華街,MM03,8:14,---
TY0749,EXP,元町・中華街,TY11,---,7:49
TY0749,EXP,元町・中華街,TY13,7:52,7:52
TY0749,EXP,元町・中華街,TY14,7:54,7:55
TY0749,EXP,元町・中華街,TY16,7:58,7:59
TY0749,EXP,元町・中華街,TY21,8:05,---
TY0749,EXP,元町・中華街,MM01,---,8:05
TY0749,EXP,元町・中華街,MM03,8:09,---
MG0646,MGR,日吉,TY11,---,6:46
MG0646,MGR,日吉,TY12,6:47,6:48
MG0646,MGR,日吉,TY13,6:50,---
MG0659,MGR,日吉,TY11,---,6:59
MG0659,MGR,日吉,TY12,7:01,7:01
MG0659,MGR,日吉,TY13,7:04,---
MG0711,MGR,海老名,TY11,---,7:11
MG0711,MGR,海老名,TY13,7:14,---
MG0713,MGR,日吉,TY11,---,7:13
MG0713,MGR,日吉,TY12,7:15,7:15
MG0713,MGR,日吉,TY13,7:18,---
MG0716,MGR,新横浜,TY11,---,7:16
MG0716,MGR,新横浜,TY12,7:18,7:18
MG0716,MGR,新横浜,TY13,7:20,---
MG0737,MGR,湘南台,TY11,---,7:37
MG0737,MGR,湘南台,TY12,7:38,7:39
MG0737,MGR,湘南台,TY13,7:41,---
TY0653,EXP,元町・中華街,TY13,---,6:53
TY0653,EXP,元町・中華街,TY14,6:55,6:55
TY0653,EXP,元町・中華街,TY16,6:58,6:59
TY0653,EXP,元町・中華街,TY21,7:05,---
TY0653,EXP,元町・中華街,MM01,---,7:06
TY0653,EXP,元町・中華街,MM03,7:09,---
TY0707,EXP,元町・中華街,TY13,---,7:07
TY0707,EXP,元町・中華街,TY14,7:09,7:10
TY0707,EXP,元町・中華街,TY16,7:13,7:13
TY0707,EXP,元町・中華街,TY21,7:20,---
TY0707,EXP,元町・中華街,MM01,---,7:22
TY0707,EXP,元町・中華街,MM03,7:24,---
TY0721,EXP,元町・中華街,TY13,---,7:21
TY0721,EXP,元町・中華街,TY14,7:23,7:24
TY0721,EXP,元町・中華街,TY16,7:27,7:28
TY0721,EXP,元町・中華街,TY21,7:35,---
TY0721,EXP,元町・中華街,MM01,---,7:36
TY0721,EXP,元町・中華街,MM03,7:39,---
TY0743,EXP,元町・中華街,TY13,---,7:43
TY0743,EXP,元町・中華街,TY14,7:45,7:46
TY0743,EXP,元町・中華街,TY16,7:49,7:50
TY0743,EXP,元町・中華街,TY21,7:56,---
TY0743,EXP,元町・中華街,MM01,---,7:57
TY0743,EXP,元町・中華街,MM03,8:00,---
